,Amplitude,AndersonDarlingNormal,BeyondNStd,Cusum,Duration,EtaE,ExcessVariance,HuberLinearFit_intercept,HuberLinearFit_slope,InterQuantileRange,Kurtosis,Mean,MeanVariance,Median,MedianAbsoluteDeviation,MedianBufferRangePercentage,OtsuSplit_opt_threshold,OtsuSplit_mu_dif,OtsuSplit_std0,OtsuSplit_std1,OtsuSplit_w0,PercentAmplitude,PercentDifferenceMagnitudeQuantile,ReducedChi2,RobustMedianStatistic,Skew,StandardDeviation,StetsonK,WeightedMean,Year
GRB 071118,2.051189672937803,232.89742066229294,0.33620689655172414,0.5791198499090366,117171.62000000001,344.83681838906335,13.940803480619012,3.4101306592152847,-1.0185362164623686,1.4589579538590027,-0.34924635138143634,0.21839347436540762,3.7573125308335844,0.4752151237590799,0.6943901252940161,0.7586206896551724,0.11198394550414455,1.4774151131229145,0.41659067313422093,0.2929461697160322,0.45689655172413796,3.1817882584434245,3.0701000050634994,84.92067950327971,8.166848363383405,-0.4506962670738187,0.8205725378854293,0.8885562221018432,0.42537170174472316,2007
GRB 151111A,2.222322334515781,262.5267338437067,0.11971830985915492,1.277061736763525,208531.524,5122.448431185067,0.7699109443952158,4.961529157808003,-1.5785269120359646,0.6188636761089933,4.787394633100021,1.0609713163667815,0.8803951899305876,1.4387938038953663,0.20111029327619945,0.8661971830985915,0.05785772924507084,2.554525414203729,0.8314819723506846,0.3300219828134013,0.11971830985915492,4.144802254165214,0.43012673145623237,92.46020085846871,5.828086000926519,-2.3145852671111498,0.9340740435836382,0.6709554707773276,1.2506372395295786,2015
GRB 090201,1.7591641918805374,313.20121559042286,0.38064516129032255,1.1881264113856054,811903.2000000001,193.3186776531796,0.7049446367301252,4.642408526820145,-1.2564555995985447,1.2281613136700773,-0.1333158875785867,-0.882275551472724,-0.847558459050078,-0.7797768130133258,0.6187358646124197,0.8129032258064516,-1.0333393021080894,1.260445288335876,0.4757700362764308,0.356499880257923,0.41935483870967744,2.4444980101117286,-1.5750164574963952,51.31537858537332,5.9965142800072755,-0.5611294134093092,0.7477801068637797,0.8372242715509545,-0.8087275314085233,2009
GRB 050505,1.7873915304481494,375.35102866750714,0.35638297872340424,1.420172863819473,1053291.611,126.89525835028559,0.4787863112996274,3.9460187432204057,-1.0941746464042963,0.8595141579681591,2.490327025243638,-0.8103377696902059,-0.7031612600987982,-0.7800931833868973,0.4193425320612868,0.9361702127659575,-0.8556506252130262,0.9106232672121454,0.43224699234941644,0.24159418982082725,0.4574468085106383,2.7353601403337686,-1.1018095995102062,29.361875102973833,4.446979766026034,-1.0592853120538102,0.5697981272410149,0.8177159802389624,-0.763357813237412,2005
GRB 220118A,1.4760614205439166,39.66666606022793,0.15789473684210525,0.8056920838001892,11266.716,303.3673743992801,2.066496782081353,3.8215945819111528,-1.3363232995385657,0.724665666786692,2.978163489427321,0.5612970303155259,1.4457050758909025,0.7410912190515787,0.4130240937974742,0.8947368421052632,-1.3820122901163558,2.2808323526891354,0.09743541618471308,0.38535869761250957,0.10526315789473684,2.3179743415373606,0.9778359912482737,75.48994041669367,6.717632203367838,-1.7528956593427305,0.8114699658096456,0.7480416690594536,0.7707508832145001,2022
GRB 070724A,2.5113543749304448,49.81932438066974,0.2,0.5383645127119314,131859.352,7168.019060479646,19.006022414084715,4.182162675008764,-1.4773355619937116,1.958852614703174,0.8622414391052646,0.3546186925284762,4.366487353587137,1.2434537796718292,0.09609038381255441,0.76,-0.6688197850652621,3.373894349657251,0.8809861177736786,0.22708745787679663,0.24,4.920376464038094,1.5753320684104173,212.04054531372833,9.027623764387283,-1.5169648087335537,1.5484380362711967,0.7501907683164897,0.7924434198233318,2007
GRB 091208B,2.0914818482424735,135.89686829660332,0.4393939393939394,0.8461011451073323,891374.667,5261.856362851785,2.028670022550152,2.8151481299765506,-0.9167187052597168,1.5103845428300966,0.035486877500503944,-0.6752019654916692,-1.4322475496615599,-0.714225069529929,0.661447959910909,0.6212121212121212,-0.43261645879225313,1.6312946932517887,0.6863556765273896,0.2164144172132294,0.6666666666666666,2.6963630035715855,-2.1147179051334115,89.64199385789428,7.694914977907134,-0.514383603835746,0.9670563606021124,0.8114423524879099,-0.5871534504320985,2009
GRB 130812A,1.2525884948127743,92.50460374869263,0.4090909090909091,1.0286081831635967,70736.18299999999,9.09897983542451,1.0272039397339874,2.197861345047125,-0.8630702683633573,1.0965026751903433,-1.1332700756762488,-0.6984837501379353,-1.0244268284729294,-0.6401641327126104,0.5755398814843398,0.5227272727272727,-0.873499096173563,1.2835455660927582,0.3557135971157792,0.22463517299397734,0.5,1.5586659021529108,-1.7128461579752352,45.26429685663903,6.284669057511094,-0.27274153195121187,0.7155454928936831,0.9198925411890507,-0.603179278765181,2013
GRB 090926B,1.7623994824658262,318.4615604347546,0.21739130434782608,1.6670739515303543,34597.4851,448.8792617449498,0.3768174451264223,5.549357099055581,-1.846225329934967,0.892393530246309,1.4880518117810348,1.1366703939832261,0.6173558942570261,1.3733405652370168,0.3713710168183353,0.8385093167701864,0.7600532515982364,1.364098407230039,0.555567190836539,0.3104690321030307,0.2422360248447205,2.9540489857626913,0.6497976924553277,67.00159880841487,6.479991981083532,-1.3325886400684115,0.7017301675530008,0.8053081930122997,1.2998838427156736,2009
GRB 190828B,2.2068603393743325,227.30300207440345,0.3185840707964602,0.6750425280431043,278701.0111,6875.770359461657,4.139755442771411,3.114855749455212,-0.9138833356115402,1.184947554281186,1.2844979647716972,0.4012137729423886,2.0463141175591146,0.3820217278842545,0.588253348976385,0.8407079646017699,0.04151071825362557,1.4241010749538379,0.6065279390964395,0.5012589182268068,0.25663716814159293,3.0030296680564086,3.101780521343025,100.53727527715104,7.6832739871179685,-0.7590708694818685,0.8210094077311668,0.7888397953693289,0.615768049533364,2019
