,lgRate,weight,lgTime,Year
GRB 071118,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         4.32855113
 4.29073816 3.97719767 3.93577924 3.69228753 3.57903409 3.62105102
 3.8108309  3.78389731 3.34944802 3.10216649 3.03881326 2.70968302
 2.82006274 0.         0.         0.         0.         2.54177175
 2.5415373  0.         2.35092598 2.25054255 2.10665491 0.
 0.         0.         0.         0.         0.         0.
 0.         0.29342687 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.         237.97741471 231.74503457 188.03337938 152.86347374
 111.12615966 113.53899591 111.03041829 117.18259618 111.97381379
 104.39018964 105.85211166 106.21975049 101.73671129 206.78343256
   0.           0.           0.           0.         104.9824518
 117.8102441    0.         104.7093385  131.78373309 103.49263389
   0.           0.           0.           0.           0.
   0.           0.           0.          25.08320436   0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.        ]","[1.046875 1.140625 1.234375 1.328125 1.421875 1.515625 1.609375 1.703125
 1.796875 1.890625 1.984375 2.078125 2.171875 2.265625 2.359375 2.453125
 2.546875 2.640625 2.734375 2.828125 2.921875 3.015625 3.109375 3.203125
 3.296875 3.390625 3.484375 3.578125 3.671875 3.765625 3.859375 3.953125
 4.046875 4.140625 4.234375 4.328125 4.421875 4.515625 4.609375 4.703125
 4.796875 4.890625 4.984375 5.078125 5.171875 5.265625 5.359375 5.453125
 5.546875 5.640625 5.734375 5.828125 5.921875 6.015625 6.109375 6.203125
 6.296875 6.390625 6.484375 6.578125 6.671875 6.765625 6.859375 6.953125]",2007
GRB 151111A,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         4.4885186  4.525337   4.64780035
 4.59580896 4.48504122 4.28739247 4.03763203 3.73326465 3.34894404
 3.13286713 2.83507762 2.61280975 0.         0.         0.
 0.         0.         0.         0.         0.         1.79852581
 1.64031792 0.         1.28987022 0.         1.22484776 1.07032939
 1.04013853 0.         0.7868255  0.         0.         0.
 0.         0.         0.         0.         0.29399155 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[  0.           0.           0.           0.           0.
   0.           0.           0.           0.         227.37238555
 197.97985684 198.91916341 215.65593809 221.62556807 222.90920166
 186.76882618 136.01254001 114.28495631 107.7117209  104.96046959
 109.57753052   0.           0.           0.           0.
   0.           0.           0.           0.          78.45867706
  76.99549896   0.         106.33535552   0.          76.05982967
  96.6414055  106.2209946    0.         143.47564487   0.
   0.           0.           0.           0.           0.
   0.          57.69141672   0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.        ]","[1.046875 1.140625 1.234375 1.328125 1.421875 1.515625 1.609375 1.703125
 1.796875 1.890625 1.984375 2.078125 2.171875 2.265625 2.359375 2.453125
 2.546875 2.640625 2.734375 2.828125 2.921875 3.015625 3.109375 3.203125
 3.296875 3.390625 3.484375 3.578125 3.671875 3.765625 3.859375 3.953125
 4.046875 4.140625 4.234375 4.328125 4.421875 4.515625 4.609375 4.703125
 4.796875 4.890625 4.984375 5.078125 5.171875 5.265625 5.359375 5.453125
 5.546875 5.640625 5.734375 5.828125 5.921875 6.015625 6.109375 6.203125
 6.296875 6.390625 6.484375 6.578125 6.671875 6.765625 6.859375 6.953125]",2015
GRB 090201,"[ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          3.04776952  2.98492842  3.01883144
  0.          2.75071612  2.62067141  2.48744116  2.39396356  2.25959959
  2.08084957  1.87359935  1.63773476  1.68565625  1.55260055  1.48687486
  1.36678216  1.28164771  1.20609484  1.05072313  0.91144457  0.77699499
  0.4847251   0.46388395  0.18399202  0.1438635  -0.22427482  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.         110.7214826  106.91708413 179.60645922
   0.         105.16099476 126.40224784 124.29236863 137.50102039
 124.9814778  104.77874643  99.28058917  79.28428774  90.26106929
  99.78046408  90.94358832 112.0123158  100.47217054 112.76570756
  78.86504463  81.72170676  92.75636905  79.2468565   81.34391783
  86.22361144  65.975108    19.50870721   0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.        ]","[1.046875 1.140625 1.234375 1.328125 1.421875 1.515625 1.609375 1.703125
 1.796875 1.890625 1.984375 2.078125 2.171875 2.265625 2.359375 2.453125
 2.546875 2.640625 2.734375 2.828125 2.921875 3.015625 3.109375 3.203125
 3.296875 3.390625 3.484375 3.578125 3.671875 3.765625 3.859375 3.953125
 4.046875 4.140625 4.234375 4.328125 4.421875 4.515625 4.609375 4.703125
 4.796875 4.890625 4.984375 5.078125 5.171875 5.265625 5.359375 5.453125
 5.546875 5.640625 5.734375 5.828125 5.921875 6.015625 6.109375 6.203125
 6.296875 6.390625 6.484375 6.578125 6.671875 6.765625 6.859375 6.953125]",2009
GRB 050505,"[ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          2.85162206  2.87016791  2.85928302  2.82157502
  0.          2.70155086  2.53125005  2.39230299  2.38447202  2.29381484
  2.18186976  1.99201988  1.98744423  1.75107911  1.61675921  1.55748969
  1.32682092  1.141563    1.0294759   0.          0.          0.
  0.         -0.03415204  0.          0.          0.         -0.51545332
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.         107.53085267 105.20294579 108.66466792 175.008443
   0.         106.3472824  128.21741298 104.7532898  137.40191039
 115.68253548 114.3845734  109.28468115  97.34503952  85.8658111
  88.89645792  83.41732786  83.84820673 105.79674953  73.80244509
   0.           0.           0.           0.          88.31923631
   0.           0.           0.          33.53128362   0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.        ]","[1.046875 1.140625 1.234375 1.328125 1.421875 1.515625 1.609375 1.703125
 1.796875 1.890625 1.984375 2.078125 2.171875 2.265625 2.359375 2.453125
 2.546875 2.640625 2.734375 2.828125 2.921875 3.015625 3.109375 3.203125
 3.296875 3.390625 3.484375 3.578125 3.671875 3.765625 3.859375 3.953125
 4.046875 4.140625 4.234375 4.328125 4.421875 4.515625 4.609375 4.703125
 4.796875 4.890625 4.984375 5.078125 5.171875 5.265625 5.359375 5.453125
 5.546875 5.640625 5.734375 5.828125 5.921875 6.015625 6.109375 6.203125
 6.296875 6.390625 6.484375 6.578125 6.671875 6.765625 6.859375 6.953125]",2005
GRB 220118A,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         4.24374093 4.01416996
 3.65351321 3.37828413 3.32670363 3.32806713 3.33190737 3.42377343
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         1.51851966 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
 232.91218726 178.07791957 111.46578637 104.87403452 104.58412879
 105.16433617 106.41645619 145.83885678   0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          86.73269539   0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.        ]","[1.046875 1.140625 1.234375 1.328125 1.421875 1.515625 1.609375 1.703125
 1.796875 1.890625 1.984375 2.078125 2.171875 2.265625 2.359375 2.453125
 2.546875 2.640625 2.734375 2.828125 2.921875 3.015625 3.109375 3.203125
 3.296875 3.390625 3.484375 3.578125 3.671875 3.765625 3.859375 3.953125
 4.046875 4.140625 4.234375 4.328125 4.421875 4.515625 4.609375 4.703125
 4.796875 4.890625 4.984375 5.078125 5.171875 5.265625 5.359375 5.453125
 5.546875 5.640625 5.734375 5.828125 5.921875 6.015625 6.109375 6.203125
 6.296875 6.390625 6.484375 6.578125 6.671875 6.765625 6.859375 6.953125]",2022
GRB 070724A,"[ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          4.27062737  4.28560359  4.01057435
  0.          3.69758448  3.75872906  0.          2.33118021  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          1.03203259  0.          0.          0.81970236  0.
  0.          0.69372501  0.          0.54303643  0.          0.
  0.         -0.67692268  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[  0.           0.           0.           0.           0.
   0.           0.           0.           0.         152.15192756
 210.94682508 187.89638394   0.         105.69225407 105.78447865
   0.         124.49619359   0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.         103.26884835   0.           0.         102.2631949
   0.           0.          82.82738639   0.          79.56066686
   0.           0.           0.          38.80423861   0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.        ]","[1.046875 1.140625 1.234375 1.328125 1.421875 1.515625 1.609375 1.703125
 1.796875 1.890625 1.984375 2.078125 2.171875 2.265625 2.359375 2.453125
 2.546875 2.640625 2.734375 2.828125 2.921875 3.015625 3.109375 3.203125
 3.296875 3.390625 3.484375 3.578125 3.671875 3.765625 3.859375 3.953125
 4.046875 4.140625 4.234375 4.328125 4.421875 4.515625 4.609375 4.703125
 4.796875 4.890625 4.984375 5.078125 5.171875 5.265625 5.359375 5.453125
 5.546875 5.640625 5.734375 5.828125 5.921875 6.015625 6.109375 6.203125
 6.296875 6.390625 6.484375 6.578125 6.671875 6.765625 6.859375 6.953125]",2007
GRB 091208B,"[ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  3.67944475  3.6096661   3.3404131   3.39309455  3.35885915  3.42279563
  3.42762766  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          2.48772979
  0.          0.          2.21952089  0.          1.83407078  0.
  1.79676841  1.65612204  1.40633525  0.          1.24697449  1.29027018
  0.          0.9510984   1.13215815  0.90712753  0.          0.60404279
  0.37781112  0.         -0.07641122  0.         -0.41058807  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.         119.88101954 115.77282618 108.21308484
 123.04891291 108.88483246 110.65156173 117.74920426   0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.         113.76931813
   0.           0.         108.26608232   0.          82.48100694
   0.          77.615015    79.90245842 143.96796945   0.
  81.34680512 209.51011192   0.         100.04278379  81.86792207
 126.04234099   0.         142.45524637  70.53166744   0.
  78.25731397   0.          22.89780643   0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.        ]","[1.046875 1.140625 1.234375 1.328125 1.421875 1.515625 1.609375 1.703125
 1.796875 1.890625 1.984375 2.078125 2.171875 2.265625 2.359375 2.453125
 2.546875 2.640625 2.734375 2.828125 2.921875 3.015625 3.109375 3.203125
 3.296875 3.390625 3.484375 3.578125 3.671875 3.765625 3.859375 3.953125
 4.046875 4.140625 4.234375 4.328125 4.421875 4.515625 4.609375 4.703125
 4.796875 4.890625 4.984375 5.078125 5.171875 5.265625 5.359375 5.453125
 5.546875 5.640625 5.734375 5.828125 5.921875 6.015625 6.109375 6.203125
 6.296875 6.390625 6.484375 6.578125 6.671875 6.765625 6.859375 6.953125]",2009
GRB 130812A,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         3.27506107 3.30634695
 3.21534432 3.16219659 3.12844967 3.13694515 3.04886894 2.93209043
 2.79964243 2.83427315 2.61380093 2.71007792 2.6776775  0.
 0.         0.         0.         0.         2.08001341 1.9300243
 1.87870205 0.         1.73921018 0.         1.40188178 1.58137363
 0.         0.         0.         1.10020334 0.95921493 0.80116997
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
 111.02163371 104.13580612 105.08467243 108.04044513 116.00569396
 109.6729175  104.12281272 104.28456108 105.83076628 108.48841261
 103.43754053 109.41786434 128.48429911   0.           0.
   0.           0.           0.         104.08890776  88.7609828
  82.94273165   0.          78.39654925   0.          83.99750148
  97.79129085   0.           0.           0.          85.82892612
  74.8443591   37.19371764   0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.        ]","[1.046875 1.140625 1.234375 1.328125 1.421875 1.515625 1.609375 1.703125
 1.796875 1.890625 1.984375 2.078125 2.171875 2.265625 2.359375 2.453125
 2.546875 2.640625 2.734375 2.828125 2.921875 3.015625 3.109375 3.203125
 3.296875 3.390625 3.484375 3.578125 3.671875 3.765625 3.859375 3.953125
 4.046875 4.140625 4.234375 4.328125 4.421875 4.515625 4.609375 4.703125
 4.796875 4.890625 4.984375 5.078125 5.171875 5.265625 5.359375 5.453125
 5.546875 5.640625 5.734375 5.828125 5.921875 6.015625 6.109375 6.203125
 6.296875 6.390625 6.484375 6.578125 6.671875 6.765625 6.859375 6.953125]",2013
GRB 090926B,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         4.80028607 4.72706808
 4.59697314 4.37777965 4.17638022 3.96966855 3.74791655 3.57425638
 3.34526552 3.16191359 3.18697159 2.94579743 2.83828759 2.72323679
 2.64894324 0.         0.         0.         0.         2.19428388
 0.         0.         0.         0.         0.         0.
 0.         1.41929158 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
 236.59574576 234.15679398 230.22388857 234.68770279 225.42343396
 176.30974928 153.345015   116.28257314 107.89983918 104.81367895
 112.65822664 107.88662687 105.11591412 108.01022304 115.55321906
   0.           0.           0.           0.         122.98439852
   0.           0.           0.           0.           0.
   0.           0.          96.61669943   0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.        ]","[1.046875 1.140625 1.234375 1.328125 1.421875 1.515625 1.609375 1.703125
 1.796875 1.890625 1.984375 2.078125 2.171875 2.265625 2.359375 2.453125
 2.546875 2.640625 2.734375 2.828125 2.921875 3.015625 3.109375 3.203125
 3.296875 3.390625 3.484375 3.578125 3.671875 3.765625 3.859375 3.953125
 4.046875 4.140625 4.234375 4.328125 4.421875 4.515625 4.609375 4.703125
 4.796875 4.890625 4.984375 5.078125 5.171875 5.265625 5.359375 5.453125
 5.546875 5.640625 5.734375 5.828125 5.921875 6.015625 6.109375 6.203125
 6.296875 6.390625 6.484375 6.578125 6.671875 6.765625 6.859375 6.953125]",2009
GRB 190828B,"[0.         0.         0.         0.         0.         0.
 0.         0.         4.69198707 4.4314471  4.24349067 4.13839577
 3.8217842  3.68321405 3.28571862 3.24939049 3.25261516 3.40718206
 3.41275486 3.35582311 3.38632417 3.43254031 3.36487095 3.25815686
 0.         0.         0.         0.         0.         2.7419312
 2.70200974 0.         2.56046848 0.         2.26558057 0.
 2.04263024 0.         0.         1.68419316 0.         1.55291644
 1.23615999 0.         1.01643536 0.         0.         0.37899206
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[  0.           0.           0.           0.           0.
   0.           0.           0.         236.02862834 228.21107856
 232.08712855 216.8626996  142.96612525 107.64600088 114.55935753
 104.76658143 106.996255   111.55622438 114.36151881 112.72481345
 113.75337289 113.47681743 109.30901445 113.97779135   0.
   0.           0.           0.           0.         110.74641481
 168.49004157   0.         109.06972692   0.         115.37964231
   0.         192.03260825   0.           0.          98.64295481
   0.          81.76656588 108.60934325   0.         150.91909347
   0.           0.          68.06935667   0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.        ]","[1.046875 1.140625 1.234375 1.328125 1.421875 1.515625 1.609375 1.703125
 1.796875 1.890625 1.984375 2.078125 2.171875 2.265625 2.359375 2.453125
 2.546875 2.640625 2.734375 2.828125 2.921875 3.015625 3.109375 3.203125
 3.296875 3.390625 3.484375 3.578125 3.671875 3.765625 3.859375 3.953125
 4.046875 4.140625 4.234375 4.328125 4.421875 4.515625 4.609375 4.703125
 4.796875 4.890625 4.984375 5.078125 5.171875 5.265625 5.359375 5.453125
 5.546875 5.640625 5.734375 5.828125 5.921875 6.015625 6.109375 6.203125
 6.296875 6.390625 6.484375 6.578125 6.671875 6.765625 6.859375 6.953125]",2019
