,info,p-value
GRB 000000X,not_found,
GRB 041223,incomplete_lightcurve,
GRB 050406,complete_lightcurve,0.15003746608180968
GRB 060115,complete_lightcurve,0.30021800023545253
GRB 070529,complete_lightcurve,0.8055909060348443
GRB 081210,complete_lightcurve,0.10315531016955697
GRB 090201,complete_lightcurve,0.9909659753753369
GRB 100526A,complete_lightcurve,0.7494032261847461
GRB 110625A,complete_lightcurve,0.9524253652265602
GRB 121212A,complete_lightcurve,0.03977526155469401
GRB 130806A,incomplete_lightcurve,
GRB 140709A,complete_lightcurve,0.047053127208755284
GRB 150403A,complete_lightcurve,0.7038227841178903
GRB 160313A,incomplete_lightcurve,
GRB 170405A,complete_lightcurve,0.5019914610693356
GRB 180311A,complete_lightcurve,0.358234471763313
GRB 190828B,complete_lightcurve,0.6008983573317658
GRB 201209A,complete_lightcurve,0.4071826165181551
GRB 210930A,complete_lightcurve,0.4791348319625504
GRB 221009A,complete_lightcurve,0.002625912357973778
GRB 231117A,complete_lightcurve,0.24907424412922383
GRB 240805B,complete_lightcurve,0.3654505083586143
SGR 1830-0645,complete_lightcurve,0.21517630349113775
Swift J164449.3+573451,not_found,
