,feature_0,feature_1,feature_2,wMSE,pred_error,sample
GRB 071118,4.393677234649658,-5.742816925048828,4.7939324378967285,3.863390350341797,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5494958162307739, 1.7167330980300903, 1.627873420715332, 0.53076171875, 2.183079481124878, 2.427441358566284, 1.0333168506622314, 2.3015174865722656, 3.236698865890503, 0.0796753391623497, 1.5070278644561768, 1.0419687032699585, 2.9493980407714844, 1.127614140510559, 0.0, 0.0, 0.0, 0.0, 0.9879387021064758, 2.1966612339019775, 0.0, 2.139350175857544, 2.502105236053467, 1.8916302919387817, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1681461334228516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 151111A,3.4982497692108154,-6.432347297668457,3.9800643920898438,2.982588768005371,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.7276434898376465, 3.739685535430908, 0.6588861346244812, 0.21032597124576569, 0.9767482876777649, 0.3315860629081726, 0.5762026309967041, 0.594340980052948, 1.2571516036987305, 0.958405613899231, 0.7861690521240234, 1.1150281429290771, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1762641668319702, 0.44569316506385803, 0.0, 1.2222297191619873, 0.0, 0.04943958669900894, 0.7571642994880676, 0.2546522617340088, 0.0, 1.4142773151397705, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7455512285232544, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 090201,4.7275214195251465,-4.134603500366211,4.452035427093506,1.954036865234375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.40439167618751526, 0.9119188785552979, 2.557382345199585, 0.0, 1.2008423805236816, 0.8511210083961487, 0.7167338132858276, 0.825217068195343, 0.6846567988395691, 0.09926685690879822, 0.9096601605415344, 2.008592367172241, 0.44925957918167114, 0.6289993524551392, 0.05254208296537399, 0.2516763210296631, 0.2861531972885132, 0.5665145516395569, 0.029547978192567825, 0.1761019229888916, 0.43200817704200745, 2.1432371139526367, 1.435307502746582, 3.3168227672576904, 2.5176467895507812, 2.7084293365478516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 050505,4.521234035491943,-3.801938056945801,4.188729763031006,3.9046875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.849982500076294, 0.3749689757823944, 0.6586077809333801, 1.1622354984283447, 0.0, 1.6002931594848633, 0.8216149806976318, 0.5720663070678711, 1.6537463665008545, 1.8925784826278687, 1.8001761436462402, 1.0554715394973755, 1.9257376194000244, 0.7969151139259338, 0.6364355087280273, 1.170111060142517, 0.04268418997526169, 0.5633936524391174, 0.6086679697036743, 0.0, 0.0, 0.0, 0.0, 5.702274322509766, 0.0, 0.0, 0.0, 4.678472518920898, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 220118A,3.7669360637664795,-5.1682939529418945,4.149258613586426,4.67245356241862,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.473539113998413, 1.7154501676559448, 1.2284951210021973, 2.773127317428589, 2.0523478984832764, 1.0392119884490967, 0.027130598202347755, 2.085784912109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8637518882751465, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 070724A,2.8304054737091064,-5.527683258056641,2.7288999557495117,8.035307450727982,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.787358283996582, 1.4287000894546509, 2.1683781147003174, 0.0, 0.2582458257675171, 2.527822256088257, 0.0, 5.845569610595703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5528557300567627, 0.0, 0.0, 0.5496847033500671, 0.0, 0.0, 0.10599761456251144, 0.0, 0.18505556881427765, 0.0, 0.0, 0.0, 5.709239959716797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 091208B,4.188304424285889,-4.954348564147949,4.565287113189697,1.8398073369806462,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3327409625053406, 0.43946942687034607, 1.2955297231674194, 0.6349750757217407, 0.4476707875728607, 0.05325882509350777, 0.8023223280906677, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24463506042957306, 0.0, 0.0, 0.6594156622886658, 0.0, 0.8812534213066101, 0.0, 0.765436589717865, 0.5722271800041199, 1.0942338705062866, 0.0, 0.17711836099624634, 2.1038856506347656, 0.0, 0.3071565628051758, 2.7734017372131348, 2.0205395221710205, 0.0, 0.8261684775352478, 0.5113084316253662, 0.0, 3.1026830673217773, 0.0, 2.639008045196533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 130812A,3.421908140182495,-4.542715549468994,3.819406747817993,1.22913273898038,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.5054733753204346, 1.480695128440857, 1.250592589378357, 0.4872255325317383, 0.34851157665252686, 1.0978657007217407, 0.9417901635169983, 0.08642790466547012, 0.6469167470932007, 0.14901626110076904, 1.3927961587905884, 0.3235026001930237, 0.7109646201133728, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23605623841285706, 0.713371753692627, 0.3268984854221344, 0.0, 0.1661442667245865, 0.0, 1.0651875734329224, 1.7660759687423706, 0.0, 0.0, 0.0, 0.7064568400382996, 0.2875429093837738, 0.11103302985429764, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 090926B,4.26101541519165,-6.254633903503418,4.398503303527832,0.6516808902516085,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14201891422271729, 0.8060097694396973, 0.8174591660499573, 0.11907744407653809, 0.6979299783706665, 0.4216446876525879, 0.8782321810722351, 0.11719777435064316, 0.479607492685318, 0.07871886342763901, 1.7923274040222168, 0.8362094759941101, 0.8877418637275696, 1.0922770500183105, 1.370132327079773, 0.0, 0.0, 0.0, 0.0, 0.508244514465332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1085570901632309, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 190828B,4.926847457885742,-5.0838623046875,4.664190769195557,2.062498532808744,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1805551052093506, 1.07810640335083, 1.0890321731567383, 2.031282901763916, 0.33238986134529114, 0.2509225606918335, 2.8830385208129883, 2.356210470199585, 1.4277048110961914, 0.18304407596588135, 0.9388794898986816, 0.2679191827774048, 1.0958678722381592, 1.6849592924118042, 1.3919299840927124, 1.0028690099716187, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24016636610031128, 0.4763147532939911, 0.0, 0.7190603613853455, 0.0, 0.13121391832828522, 0.0, 0.20392364263534546, 0.0, 0.0, 0.3104824721813202, 0.0, 0.6550293564796448, 1.3822153806686401, 0.0, 1.4300312995910645, 0.0, 0.0, 3.6067869663238525, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
