,feature_0,feature_1,feature_2,wMSE,pred_error,sample
GRB 071118,-0.07245570421218872,-0.6856772899627686,1.0206621885299683,4.133675765991211,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6664184331893921, 2.4253251552581787, 0.6234791278839111, 0.25747790932655334, 1.2918503284454346, 1.557282567024231, 0.00979522243142128, 2.724241018295288, 3.1323976516723633, 0.7760233879089355, 2.291188955307007, 1.9072195291519165, 4.126730442047119, 3.211149215698242, 0.0, 0.0, 0.0, 0.0, 0.11568892747163773, 1.2603543996810913, 0.0, 1.5913712978363037, 1.8914475440979004, 1.3759911060333252, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.851101875305176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 151111A,0.6246702671051025,0.014933595433831215,1.6211707592010498,1.8509651184082032,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3789467811584473, 3.122197151184082, 0.6131678819656372, 0.36663493514060974, 0.2547091543674469, 0.42830103635787964, 0.3649436831474304, 0.11301237344741821, 0.9719721674919128, 0.38699764013290405, 0.5159047245979309, 0.7700332999229431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.592740535736084, 1.725445032119751, 0.0, 0.1933182030916214, 0.0, 0.507854163646698, 0.42477738857269287, 0.1638319194316864, 0.0, 1.5769470930099487, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5539316534996033, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 090201,-0.0681903213262558,-1.2511625289916992,-0.022529229521751404,0.7974494934082031,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9179261922836304, 0.49160346388816833, 1.5543062686920166, 0.0, 0.36994078755378723, 0.28933966159820557, 0.41766127943992615, 0.20039692521095276, 0.051935382187366486, 0.594598114490509, 1.068257212638855, 2.085928201675415, 0.4506300091743469, 0.6124319434165955, 0.2501995861530304, 0.2474888563156128, 0.5132303237915039, 0.833988606929779, 0.9206231832504272, 0.3737461268901825, 0.7016196250915527, 1.2687993049621582, 0.04349098354578018, 1.4344422817230225, 0.4309508502483368, 1.7767653465270996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 050505,-0.09645603597164154,-1.072195053100586,-0.13893000781536102,2.1745254516601564,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3056085109710693, 0.6400773525238037, 0.0001143252375186421, 0.7022004127502441, 0.0, 0.8038776516914368, 0.338986337184906, 0.39445942640304565, 0.6282169222831726, 0.9379961490631104, 0.8316282033920288, 0.39920705556869507, 1.4314463138580322, 0.4836737811565399, 0.4234410226345062, 1.2936915159225464, 0.24940501153469086, 0.29800042510032654, 0.3729061484336853, 0.0, 0.0, 0.0, 0.0, 4.365551471710205, 0.0, 0.0, 0.0, 3.7890491485595703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 220118A,0.23771966993808746,-0.20495526492595673,0.8168861269950867,4.015839046902126,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.444561243057251, 1.69442617893219, 1.0767103433609009, 2.8072071075439453, 2.2654895782470703, 1.2031230926513672, 0.31300413608551025, 2.1078975200653076, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1160649061203003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 070724A,0.34231433272361755,0.7379751205444336,1.203323245048523,6.820623224431818,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4927932322025299, 0.32431140542030334, 1.9548383951187134, 0.0, 0.2000492662191391, 3.514174461364746, 0.0, 5.041950702667236, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2658013105392456, 0.0, 0.0, 0.28729042410850525, 0.0, 0.0, 0.2592509984970093, 0.0, 0.5619867444038391, 0.0, 0.0, 0.0, 5.701798439025879, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 091208B,-0.06334507465362549,-0.6987271904945374,0.5616846084594727,1.6403538097034802,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1409987211227417, 0.7372710108757019, 1.626328706741333, 0.5721815824508667, 0.6199094653129578, 0.6804394125938416, 0.8858479857444763, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14851844310760498, 0.0, 0.0, 0.7410503029823303, 0.0, 0.9829616546630859, 0.0, 0.35652878880500793, 0.115035779774189, 1.4738537073135376, 0.0, 0.4796454906463623, 1.7372773885726929, 0.0, 0.22721917927265167, 2.633200168609619, 2.1892600059509277, 0.0, 2.0765185356140137, 0.10888583958148956, 0.0, 1.787313461303711, 0.0, 1.8009086847305298, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 130812A,0.09167073667049408,-0.18984325230121613,0.4331274628639221,0.6280443451621316,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9525207281112671, 0.14827850461006165, 0.1455284059047699, 0.17528432607650757, 0.24563853442668915, 0.9093596935272217, 0.5958942770957947, 0.2216915488243103, 0.6436963677406311, 0.24071763455867767, 1.154695987701416, 0.648788332939148, 0.9661586880683899, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9692158699035645, 1.2706890106201172, 0.8609066009521484, 0.0, 0.034300610423088074, 0.0, 1.1478185653686523, 1.5459568500518799, 0.0, 0.0, 0.0, 1.0536032915115356, 0.5182595252990723, 0.04205578193068504, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 090926B,0.15117816627025604,-0.375546932220459,1.3929742574691772,0.7460703008315143,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7660573720932007, 0.12309447675943375, 0.7528351545333862, 0.22765041887760162, 0.04037836566567421, 0.06052936986088753, 0.3730059862136841, 0.1290859431028366, 0.70734041929245, 1.23081636428833, 0.17224198579788208, 1.0981996059417725, 1.0390558242797852, 1.0091581344604492, 1.064329981803894, 0.0, 0.0, 0.0, 0.0, 0.3400768041610718, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4737610816955566, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 190828B,-0.511042058467865,-0.7402915954589844,0.775426983833313,2.9973079974834738,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08149170875549316, 0.2851111888885498, 1.160200834274292, 2.7969472408294678, 0.25073060393333435, 0.4736306369304657, 3.8914737701416016, 3.2519495487213135, 2.631594181060791, 0.274270236492157, 0.23006483912467957, 0.012735152617096901, 1.0636041164398193, 2.3128530979156494, 1.9922019243240356, 1.8605071306228638, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8352242112159729, 1.4975087642669678, 0.0, 1.5941414833068848, 0.0, 0.22009754180908203, 0.0, 0.25846120715141296, 0.0, 0.0, 0.4399160146713257, 0.0, 0.415530800819397, 1.7460062503814697, 0.0, 1.6433366537094116, 0.0, 0.0, 3.160809278488159, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
