,feature_0,feature_1,feature_2,wMSE,pred_error,sample
GRB 071118,-3.969477891921997,3.427525520324707,-6.371120452880859,4.195698165893555,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5367506742477417, 2.674177408218384, 0.5199854969978333, 0.2328493744134903, 1.7356126308441162, 2.047025203704834, 0.7010530829429626, 2.4531867504119873, 3.038074493408203, 0.4916471242904663, 1.8547416925430298, 1.1921879053115845, 3.145035743713379, 1.4207398891448975, 0.0, 0.0, 0.0, 0.0, 1.0292571783065796, 2.2124080657958984, 0.0, 2.4138848781585693, 2.8440492153167725, 2.218966007232666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.054199695587158, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 151111A,-5.033943176269531,2.8882229328155518,-5.384239196777344,2.148861885070801,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.287144184112549, 2.477978467941284, 0.44761914014816284, 1.362931251525879, 2.03525972366333, 1.7142435312271118, 1.0598758459091187, 0.20130294561386108, 0.8934515118598938, 0.4824133515357971, 0.8750553727149963, 1.1343177556991577, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3359973430633545, 0.637351393699646, 0.0, 0.8094884753227234, 0.0, 0.35096243023872375, 0.3509732484817505, 0.16171011328697205, 0.0, 0.8602668046951294, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1010065078735352, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 090201,-2.5126898288726807,3.8350675106048584,-5.872558116912842,1.5910435485839844,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.40543031692504883, 0.7544623613357544, 2.4598193168640137, 0.0, 1.1232670545578003, 0.8589266538619995, 0.8007121086120605, 0.8980818390846252, 0.757864773273468, 0.01926521211862564, 0.7794716358184814, 1.738588809967041, 0.1981058567762375, 0.42046570777893066, 0.12667033076286316, 0.1221364364027977, 0.21959227323532104, 0.7274873852729797, 0.24966458976268768, 0.08252448588609695, 0.17027674615383148, 1.9315787553787231, 1.1050881147384644, 2.9243175983428955, 2.113058567047119, 2.5393221378326416, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 050505,-2.2199018001556396,3.6707773208618164,-5.564013957977295,3.6807846069335937,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.318565845489502, 0.6310879588127136, 0.25321051478385925, 0.8178470730781555, 0.0, 1.3877174854278564, 0.6835744976997375, 0.543010950088501, 1.6246337890625, 1.9055103063583374, 1.8714765310287476, 1.1578847169876099, 2.1993491649627686, 1.042726993560791, 0.8144882321357727, 1.3399654626846313, 0.3033270537853241, 0.6150344610214233, 0.4424839913845062, 0.0, 0.0, 0.0, 0.0, 5.315144062042236, 0.0, 0.0, 0.0, 4.432183742523193, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 220118A,-3.6846768856048584,2.9605488777160645,-5.526589393615723,4.7708689371744795,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.299781322479248, 2.440380096435547, 0.5365453362464905, 2.1291608810424805, 1.5748709440231323, 0.8379979133605957, 0.13268931210041046, 2.1745142936706543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3967602252960205, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 070724A,-4.4660325050354,2.5084104537963867,-3.8741931915283203,7.01462832364169,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4484975337982178, 1.41290283203125, 0.17792025208473206, 0.0, 1.2759783267974854, 4.248404026031494, 0.0, 5.021059989929199, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3129449188709259, 0.0, 0.0, 0.10304855555295944, 0.0, 0.0, 0.508053719997406, 0.0, 0.4356635808944702, 0.0, 0.0, 0.0, 5.4302144050598145, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 091208B,-3.2631771564483643,3.2842211723327637,-6.001298904418945,2.0457803552800957,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0171329975128174, 1.354546070098877, 0.6745840907096863, 0.03782472386956215, 0.02529643476009369, 0.6112601161003113, 1.0307481288909912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21462978422641754, 0.0, 0.0, 0.8199635744094849, 0.0, 0.699533224105835, 0.0, 0.9828281998634338, 0.8133734464645386, 0.569437563419342, 0.0, 0.11972428858280182, 2.6130552291870117, 0.0, 0.4108377695083618, 2.991013288497925, 2.483617067337036, 0.0, 1.360719084739685, 0.2670068144798279, 0.0, 2.674520254135132, 0.0, 2.425584077835083, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 130812A,-3.205249786376953,2.7797439098358154,-5.029145240783691,1.333735552701083,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.460719585418701, 1.3029823303222656, 0.7413678765296936, 0.09436918795108795, 0.8458669185638428, 1.53541100025177, 1.2658562660217285, 0.3758096992969513, 0.44312363862991333, 0.1686195582151413, 1.5451377630233765, 0.11082275211811066, 0.7885100841522217, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2706747353076935, 0.641567051410675, 0.2742476463317871, 0.0, 0.37559470534324646, 0.0, 0.802056610584259, 2.0268845558166504, 0.0, 0.0, 0.0, 1.1215587854385376, 0.5669307112693787, 0.12006040662527084, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 090926B,-4.689088344573975,3.5076215267181396,-5.996521949768066,0.5419542649213005,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5214865803718567, 1.2088285684585571, 1.2562036514282227, 0.47280341386795044, 0.0192871131002903, 0.2497374713420868, 0.5305607318878174, 0.07949960976839066, 0.31580469012260437, 0.341088205575943, 1.4605342149734497, 0.4948848485946655, 0.7617959976196289, 0.9571012258529663, 1.0225086212158203, 0.0, 0.0, 0.0, 0.0, 0.3979412019252777, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18291771411895752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 190828B,-3.318742513656616,3.910534143447876,-6.235897064208984,1.7836321317232573,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0623905658721924, 1.4025624990463257, 1.435773253440857, 2.7114574909210205, 0.4527193307876587, 0.672119140625, 2.2663629055023193, 1.7219229936599731, 1.1382372379302979, 0.7378976345062256, 1.050533652305603, 0.21604450047016144, 0.7141084671020508, 1.3319445848464966, 1.3268333673477173, 0.7872282266616821, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13562533259391785, 0.5722647309303284, 0.0, 1.0320109128952026, 0.0, 0.29121828079223633, 0.0, 0.41238024830818176, 0.0, 0.0, 0.31511300802230835, 0.0, 1.2080848217010498, 0.733427107334137, 0.0, 0.8846210241317749, 0.0, 0.0, 3.127713918685913, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
