GRB;numbreaks;lc type;NH_gal;Redshift;Flares
Swift J164449.3+573451;0;TBD;0.0175;0.354;[]
SGR 1830-0645;0;No breaks;1.1;N/A;[]
GRB 240905E;1;One-break;0.093;N/A;[]
GRB 240828B;0;No breaks;0.29;N/A;[]
GRB 240828A;0;No breaks;0.0128;N/A;[]
GRB 240825A;4;Canonical;0.0528;0.659;[]
GRB 240824B;0;No breaks;0.0336;N/A;[]
GRB 240819A;0;TBD;;N/A;[]
GRB 240819A;0;TBD;0.95;N/A;[]
GRB 240811A;2;Canonical;0.0198;N/A;[]
GRB 240809A;2;Oddball;0.15;1.494;[]
GRB 240805B;3;Canonical;0.0761;N/A;[(71.3, 77.9), (129, 167), (272, 514), (1008, 1757)]
GRB 240805A;1;One-break;0.23;N/A;[]
GRB 240730A;0;No breaks;0.78;N/A;[]
GRB 240727A;2;Oddball;0.0364;N/A;[]
GRB 240715A;0;TBD;0.0151;N/A;[]
GRB 240712A;0;TBD;0.89;N/A;[]
GRB 240619A;0;No breaks;0.0285;N/A;[]
GRB 240606B;0;No breaks;0.0242;N/A;[]
GRB 240529A;5;Canonical;0.41;2.695;[(107, 127), (223, 288)]
GRB 240527B;1;One-break;0.0568;N/A;[]
GRB 240523A;2;Canonical;0.0157;N/A;[]
GRB 240516A;0;TBD;;N/A;[]
GRB 240513A;0;No breaks;0.0704;N/A;[]
GRB 240511A;4;Canonical;0.0849;N/A;[(109, 423)]
GRB 240421B;1;One-break;0.12;N/A;[]
GRB 240419B;1;One-break;0.0684;N/A;[(159, 194), (314, 456)]
GRB 240419A;2;Canonical;0.0663;5.178;[]
GRB 240418A;0;No breaks;0.0526;N/A;[]
GRB 240415A;0;No breaks;0.0249;N/A;[]
GRB 240414A;0;No breaks;0.014;N/A;[]
GRB 240411B;0;No breaks;0.11;N/A;[(160, 288)]
GRB 240225B;0;No breaks;0.04;N/A;[]
GRB 240222A;0;No breaks;0.17;N/A;[]
GRB 240218A;1;One-break;0.0419;6.782;[(188, 275)]
GRB 240215A;0;TBD;0.0276;N/A;[]
GRB 240204A;1;One-break;0.64;N/A;[]
GRB 240123A;3;Canonical;0.0145;N/A;[]
GRB 240122A;0;TBD;;N/A;[]
GRB 240122A;0;No breaks;0.1;N/A;[]
GRB 240118A;0;No breaks;0.0713;N/A;[]
GRB 240112C;1;One-break;0.13;N/A;[]
GRB 240102A;1;One-break;0.23;N/A;[(116, 215)]
GRB 240101B;2;Oddball;0.29;N/A;[(239, 704)]
GRB 240101A;0;No breaks;0.0584;N/A;[]
GRB 231230A;1;One-break;0.0131;N/A;[]
GRB 231222B;0;TBD;;N/A;[]
GRB 231222B;0;No breaks;0.0713;N/A;[]
GRB 231216A;0;No breaks;0.0836;N/A;[(670, 2000)]
GRB 231215A;0;No breaks;0.42;2.305;[(40000.0, 130000.0)]
GRB 231214A;0;No breaks;0.0546;N/A;[]
GRB 231210B;2;Canonical;0.0405;3.13;[]
GRB 231205B;1;One-break;0.15;N/A;[]
GRB 231129C;0;TBD;0.0969;N/A;[]
GRB 231129A;4;Canonical;0.59;N/A;[]
GRB 231118A;1;One-break;0.0188;0.8304;[]
GRB 231117A;0;No breaks;0.0614;0.257;[]
GRB 231111A;2;Canonical;0.13;N/A;[(178, 16400.0)]
GRB 231110A;0;TBD;0.19;N/A;[]
GRB 231104A;1;One-break;0.13;N/A;[(597, 983)]
GRB 230911C;0;No breaks;0.0936;N/A;[(684, 814)]
GRB 230911A;0;TBD;;N/A;[]
GRB 230903A;0;No breaks;0.0268;N/A;[]
GRB 230827B;0;No breaks;0.3;N/A;[]
GRB 230826A;2;Canonical;0.15;N/A;[]
GRB 230818A;2;Canonical;0.11;N/A;[]
GRB 230816A;1;One-break;0.29;N/A;[]
GRB 230815A;4;Oddball;0.49;N/A;[]
GRB 230812B;0;No breaks;0.0202;N/A;[]
GRB 230805B;0;TBD;0.0141;N/A;[]
GRB 230802A;2;Oddball;0.34;N/A;[(96.3, 506)]
GRB 230728A;1;One-break;0.0629;N/A;[(501, 6046)]
GRB 230723B;0;No breaks;0.22;N/A;[]
GRB 230628E;0;No breaks;0.0435;N/A;[]
GRB 230622A;0;TBD;0.0902;N/A;[]
GRB 230618A;2;Oddball;0.0214;N/A;[(118, 182)]
GRB 230606A;0;No breaks;0.0232;N/A;[]
GRB 230510A;2;Oddball;0.19;N/A;[(91.6, 116), (259, 313)]
GRB 230506C;0;No breaks;0.0224;N/A;[]
GRB 230506B;1;One-break;0.38;N/A;[]
GRB 230427A;0;No breaks;0.00836;N/A;[]
GRB 230423A;0;No breaks;0.2;N/A;[]
GRB 230420A;3;Oddball;0.0171;N/A;[]
GRB 230414B;2;Canonical;0.0168;3.568;[(370, 708)]
GRB 230409B;1;One-break;0.76;N/A;[]
GRB 230405B;2;Oddball;0.16;N/A;[(646, 4838)]
GRB 230328B;1;One-break;0.0628;N/A;[(94.4, 262)]
GRB 230325A;2;Oddball;0.0488;1.664;[]
GRB 230322B;0;No breaks;0.0248;N/A;[]
GRB 230307A;0;TBD;0.13;N/A;[]
GRB 230228A;0;No breaks;0.0972;N/A;[]
GRB 230217A;0;No breaks;0.16;N/A;[]
GRB 230216A;2;Canonical;0.32;N/A;[(761, 5537)]
GRB 230205A;0;No breaks;0.0209;N/A;[(235, 661)]
GRB 230204B;0;TBD;;N/A;[]
GRB 230204B;0;No breaks;0.1;N/A;[]
GRB 230204A;0;No breaks;1.0;N/A;[(153, 398), (515, 1100)]
GRB 230123A;0;No breaks;0.0295;N/A;[]
GRB 230116D;2;Canonical;0.16;3.81;[]
GRB 221231A;0;No breaks;0.0644;N/A;[]
GRB 221226B;0;No breaks;0.0169;2.694;[]
GRB 221216A;3;Canonical;0.0275;N/A;[(61.3, 85.0), (99.6, 141), (142, 321)]
GRB 221202A;1;One-break;0.0211;N/A;[(145, 352), (468, 989)]
GRB 221201A;3;Canonical;0.0753;N/A;[]
GRB 221120A;0;No breaks;0.12;N/A;[]
GRB 221110A;0;No breaks;0.0146;4.06;[]
GRB 221028A;0;No breaks;0.78;N/A;[]
GRB 221027B;1;One-break;0.0288;N/A;[]
GRB 221024A;1;One-break;0.0286;N/A;[(142, 576)]
GRB 221016A;1;One-break;0.0353;N/A;[]
GRB 221009A;4;Canonical;0.54;0.151;[(55599.99999999999, 73100.0), (73500.0, 89400.0)]
GRB 221006A;0;No breaks;0.0598;N/A;[]
GRB 220930A;1;One-break;0.28;N/A;[(162, 240)]
GRB 220921A;0;No breaks;0.026;N/A;[]
GRB 220907A;0;TBD;0.6;N/A;[]
GRB 220826A;2;Canonical;0.0905;N/A;[(547, 768)]
GRB 220813A;3;Canonical;0.0232;N/A;[(131, 300)]
GRB 220730A;0;TBD;0.21;N/A;[]
GRB 220715B;0;No breaks;0.36;N/A;[]
GRB 220714B;2;Canonical;0.0323;N/A;[(132, 3730)]
GRB 220711B;2;Canonical;0.074;N/A;[(127, 519)]
GRB 220710A;0;TBD;0.026;N/A;[]
GRB 220708B;0;No breaks;0.0138;N/A;[]
GRB 220708A;0;No breaks;0.0978;N/A;[]
GRB 220706A;0;No breaks;0.024;N/A;[(536, 20000.0)]
GRB 220701A;0;No breaks;0.0103;N/A;[]
GRB 220627A;0;No breaks;0.049;3.084;[]
GRB 220623A;0;No breaks;0.0249;N/A;[]
GRB 220618A;2;Oddball;0.47;N/A;[(185, 245), (280, 403)]
GRB 220611A;2;Canonical;0.0266;N/A;[(152, 555)]
GRB 220527A;0;No breaks;0.0625;N/A;[]
GRB 220521A;0;No breaks;0.19;5.6;[]
GRB 220518A;1;One-break;0.00933;N/A;[]
GRB 220511A;0;No breaks;0.59;N/A;[]
GRB 220506A;0;TBD;0.13;N/A;[]
GRB 220430A;4;Oddball;0.65;N/A;[]
GRB 220427A;0;No breaks;0.1;N/A;[]
GRB 220412A;2;Oddball;0.037;N/A;[]
GRB 220408A;1;One-break;0.0198;N/A;[]
GRB 220403B;2;Canonical;0.12;N/A;[]
GRB 220325A;0;No breaks;0.39;N/A;[]
GRB 220319A;0;No breaks;0.0149;N/A;[]
GRB 220306B;0;No breaks;0.41;N/A;[]
GRB 220305A;0;No breaks;0.26;N/A;[]
GRB 220302A;0;No breaks;0.34;N/A;[]
GRB 220219B;0;No breaks;0.0256;N/A;[]
GRB 220118A;1;One-break;0.0225;N/A;[]
GRB 220117B;2;Oddball;0.0758;N/A;[(165, 295)]
GRB 220117A;2;Canonical;0.0257;4.961;[(158, 254), (413, 5187)]
GRB 220107B;0;No breaks;0.0315;N/A;[]
GRB 220107A;0;No breaks;0.0221;N/A;[]
GRB 220101A;2;Oddball;0.0629;4.61;[(95.3, 134), (135, 156)]
GRB 211227A;2;Oddball;0.0237;N/A;[]
GRB 211221A;0;No breaks;0.14;N/A;[]
GRB 211211A;5;Canonical;0.0176;0.0763;[(172, 190)]
GRB 211207A;0;No breaks;0.0494;2.272;[]
GRB 211129A;2;Canonical;0.0881;N/A;[(79.8, 162), (186, 474)]
GRB 211107B;0;No breaks;0.0425;N/A;[]
GRB 211106A;0;No breaks;0.0106;N/A;[]
GRB 211025A;2;Oddball;0.0238;N/A;[(113, 130)]
GRB 211024B;2;Oddball;0.0208;1.1137;[(5905, 23700.0)]
GRB 211023B;0;No breaks;0.023;N/A;[]
GRB 210930A;0;No breaks;0.00955;N/A;[(211, 338)]
GRB 210928A;0;No breaks;0.23;N/A;[]
GRB 210919A;0;TBD;0.16;N/A;[]
GRB 210912A;2;Canonical;0.024;N/A;[]
GRB 210905A;3;Canonical;0.0338;6.318;[(274, 409)]
GRB 210901A;2;Oddball;0.1;N/A;[]
GRB 210827A;0;No breaks;0.0106;N/A;[]
GRB 210824A;0;No breaks;0.0331;N/A;[]
GRB 210822A;2;Oddball;0.15;1.736;[]
GRB 210820A;2;Oddball;0.0359;N/A;[(122, 161), (177, 189), (193, 209), (221, 469)]
GRB 210818A;3;Canonical;0.17;N/A;[]
GRB 210807C;3;Canonical;0.85;N/A;[(199, 306)]
GRB 210807A;3;Oddball;0.34;N/A;[(368, 399)]
GRB 210802A;0;TBD;0.0202;N/A;[]
GRB 210731A;1;One-break;0.11;1.2525;[]
GRB 210730A;0;No breaks;0.0628;N/A;[(87.9, 103)]
GRB 210726A;2;Oddball;0.0173;N/A;[]
GRB 210725B;0;No breaks;0.0202;N/A;[(94.5, 157)]
GRB 210725A;0;No breaks;0.0409;N/A;[]
GRB 210724A;1;One-break;0.0823;N/A;[(170, 511)]
GRB 210723A;2;Oddball;0.77;N/A;[]
GRB 210722A;2;Canonical;0.0223;N/A;[(78.1, 223)]
GRB 210712A;2;Canonical;0.0889;N/A;[(93.2, 144)]
GRB 210708A;0;No breaks;0.16;N/A;[(88.0, 353)]
GRB 210706A;0;No breaks;0.0967;N/A;[]
GRB 210704A;0;No breaks;0.00559;N/A;[]
GRB 210702A;1;One-break;0.12;1.16;[]
GRB 210626A;0;TBD;0.0439;N/A;[]
GRB 210619B;2;Oddball;0.2;1.937;[]
GRB 210618A;0;No breaks;0.0132;N/A;[]
GRB 210610B;4;Canonical;0.0394;1.13;[]
GRB 210610A;1;One-break;0.0219;3.54;[]
GRB 210606A;0;No breaks;0.0375;N/A;[]
GRB 210605B;0;No breaks;0.077;N/A;[]
GRB 210527A;0;No breaks;0.0185;N/A;[]
GRB 210517A;0;No breaks;0.013;2.486;[]
GRB 210515C;1;One-break;0.0262;N/A;[]
GRB 210514A;3;Canonical;0.02;N/A;[(65.7, 107)]
GRB 210509A;0;No breaks;0.0711;N/A;[]
GRB 210504A;2;Oddball;0.13;2.077;[(411, 812)]
GRB 210421A;2;Oddball;0.46;N/A;[]
GRB 210420B;3;Canonical;0.0209;1.4;[(575, 989)]
GRB 210419C;1;One-break;0.0112;N/A;[]
GRB 210419A;1;One-break;0.0776;N/A;[(257, 786)]
GRB 210411C;1;One-break;0.081;2.826;[(141, 414)]
GRB 210410A;1;One-break;0.0396;N/A;[(68.8, 111)]
GRB 210402A;2;Oddball;0.0151;N/A;[(152, 394), (648, 34400.0)]
GRB 210323A;2;Canonical;0.12;N/A;[]
GRB 210321A;0;No breaks;0.11;1.487;[]
GRB 210318B;1;One-break;0.71;N/A;[]
GRB 210318A;0;No breaks;0.0188;N/A;[]
GRB 210308A;1;One-break;0.45;N/A;[]
GRB 210307A;5;Canonical;0.14;N/A;[(97.2, 140)]
GRB 210306A;1;One-break;0.0422;N/A;[]
GRB 210305A;2;Oddball;0.2;N/A;[(96.3, 136)]
GRB 210226A;2;Canonical;0.0524;N/A;[]
GRB 210222B;1;One-break;0.0887;N/A;[]
GRB 210218A;0;TBD;0.19;N/A;[]
GRB 210217A;1;One-break;0.0869;N/A;[]
GRB 210212A;1;One-break;0.11;N/A;[]
GRB 210211A;0;No breaks;0.12;N/A;[]
GRB 210210A;1;One-break;0.0882;0.715;[]
GRB 210209A;2;Canonical;0.37;N/A;[(202, 4618)]
GRB 210207B;2;Canonical;0.0351;N/A;[(89.7, 189)]
GRB 210205A;0;No breaks;0.51;N/A;[]
GRB 210204A;0;No breaks;0.0346;0.876;[]
GRB 210112A;4;Canonical;0.00955;N/A;[(64.4, 82.9), (96.2, 156)]
GRB 210104B;2;Canonical;0.27;N/A;[]
GRB 210104A;4;Canonical;0.0509;N/A;[(218, 284), (287, 336)]
GRB 210102B;0;TBD;;N/A;[]
GRB 201229A;2;Canonical;0.0178;N/A;[]
GRB 201223A;0;No breaks;0.0313;N/A;[]
GRB 201221D;0;TBD;0.0265;1.046;[]
GRB 201221A;0;No breaks;0.0932;5.7;[]
GRB 201216C;0;No breaks;0.0504;N/A;[]
GRB 201209A;3;Canonical;0.036;N/A;[]
GRB 201208A;0;No breaks;0.0502;N/A;[]
GRB 201203A;0;No breaks;0.0177;N/A;[]
GRB 201128A;0;No breaks;0.0354;N/A;[]
GRB 201116A;0;No breaks;0.0278;N/A;[]
GRB 201104B;1;One-break;0.0569;1.954;[(196, 248)]
GRB 201103B;0;No breaks;0.14;N/A;[]
GRB 201029A;1;One-break;0.0208;N/A;[(114, 152), (228, 910), (1038, 1859), (12100.0, 23400.0)]
GRB 201027A;1;One-break;0.0467;N/A;[]
GRB 201026A;1;One-break;0.11;N/A;[(133, 519)]
GRB 201024A;0;No breaks;0.0364;N/A;[]
GRB 201021C;0;No breaks;0.0205;1.07;[]
GRB 201020B;0;No breaks;0.14;0.804;[]
GRB 201020A;2;Canonical;0.037;N/A;[]
GRB 201017A;0;No breaks;0.57;N/A;[]
GRB 201015A;0;No breaks;0.36;0.426;[]
GRB 201014A;2;Canonical;0.0787;4.56;[]
GRB 201013A;2;Canonical;0.0543;N/A;[]
